archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"bioderma-sensibio-forte-40-ml-crema-16574.webp","BIODERMA SENSIBIO FORTE 40 ML CREMA","DERM-I00258","Bioderma Sensibio DS+ Crema 40 ML","0.67"
"bioderma-sensibio-gel-contorno-de-ojo-15-ml-80177.webp","BIODERMA SENSIBIO GEL CONTORNO DE OJO 15 ML","DERM-I00260","Bioderma Sensibio EYE GEL Contorno DE Ojos 15 ML","0.67"
"cerave-resurfacing-retinol-30-ml-serum-118314.webp","CERAVE RESURFACING RETINOL 30 ML SERUM","DERM-I00301","Cerave Resurfacing Retinol Serum 1 OZ.","0.67"
"cetaphil-barra-dermolimpiadora-127-g-13646.webp","CETAPHIL BARRA DERMOLIMPIADORA 127 G","DERM-I00306","Cetaphil Barra Dermolimpiadora Limpieza Suave 127 G","0.67"
"effaclar-mouss-la-roche-posay-200-ml-gel-19573.webp","EFFACLAR MOUSS LA ROCHE POSAY 200 ML GEL","DERM-I00818","LA Roche-posay Effaclar Purifying Foaming GEL 200 ML","0.67"
"eucerin-hyaluron-contorno-de-ojos-15-ml-20053.webp","EUCERIN HYALURON CONTORNO DE OJOS 15 ML","DERM-I00474","Eucerin Hyaluron Filler + Elasticity Contorno DE Ojos 15 ML","0.67"
"genove-pilopeptan-champu-anticaida-250-ml-104648.webp","GENOVE PILOPEPTAN CHAMPU ANTICAIDA 250 ML","DERM-I00986","Pilopeptan Champu Anticaida Woman 250 ML","0.67"
"heliocare-360-gel-oil-free-spf50-50-ml-protector-solar-21366.webp","HELIOCARE 360 GEL OIL-FREE SPF50 50 ML PROTECTOR SOLAR","DERM-I00579","Heliocare 360 GEL Oil-free SPF 50","0.67"
"la-roche-posay-toleriane-ultra-intense-soothing-40-ml-22665.webp","LA ROCHE-POSAY TOLERIANE ULTRA INTENSE SOOTHING 40 ML","DERM-I00841","LA Roche-posay Toleriane Dermallergo Ultra 40 ML","0.67"
"pilopeptan-woman-30-comprimidos-104646.webp","PILOPEPTAN WOMAN 30 COMPRIMIDOS","DERM-I00987","Pilopeptan Comprimidos Cabello Woman 30 Capsulas","0.67"
"sesderma-hidraloe-gel-250-ml-19553.webp","SESDERMA HIDRALOE GEL 250 ML","DERM-I01119","Sesderma Hidraloe GEL DE Aloe 250 ML","0.67"
