archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"isispharma-teen-derm-k-concentrate-anti-imperfections-30-ml-16662.webp","ISISPHARMA TEEN DERM K CONCENTRATE ANTI-IMPERFECTIONS 30 ML","DERM-I00749","Isispharma Teen Derm K Concentrate 30 ML","0.75"
"la-roche-posay-effaclar-mat-hydratante-s-40-ml-19605.webp","LA ROCHE POSAY EFFACLAR MAT HYDRATANTE S 40 ML","DERM-I00817","LA Roche-posay Effaclar MAT 40 ML","0.75"
"sesderma-c-vit-facial-liposomal-serum-30-ml-21605.webp","SESDERMA C-VIT FACIAL LIPOSOMAL SERUM 30 ML","DERM-I01092","Sesderma C-vit 5 Liposomal Serum 30 ML","0.75"
"sesderma-repaskin-tacto-seda-facial-spf50-50-ml-108068.webp","SESDERMA REPASKIN TACTO SEDA FACIAL SPF50 50 ML","DERM-I01133","Sesderma Repaskin Toque Tacto Seda Facial SPF 50","0.75"
"sesderma-reti-age-anti-edad-serum-30-ml-22603.webp","SESDERMA RETI-AGE ANTI-EDAD SERUM 30 ML","DERM-I01137","Sesderma Reti AGE Anti-aging Serum 30 ML","0.75"
"avene-dermabsolu-de-noche-40-ml-balsamo-116817.webp","AVENE DERMABSOLU DE NOCHE 40 ML BALSAMO","DERM-I00136","Avene Dermabsolu Crema DE Noche 40 ML","0.71"
"babe-gel-higiene-intima-pediatric-200-ml-74975.webp","BABE GEL HIGIENE INTIMA PEDIATRIC 200 ML","DERM-I00188","Babe GEL Higiene Intima Pediatrico 200 ML","0.71"
"babe-leche-hidratante-corporal-pediatrico-500-ml-21521.webp","BABE LECHE HIDRATANTE CORPORAL PEDIATRICO 500 ML","DERM-I00203","Babe Leche Hidratante Corporal Pediatrica 500 ML","0.71"
"bioderma-sebium-gel-moussant-200-ml-6-7-oz-21276.webp","BIODERMA SEBIUM GEL MOUSSANT 200 ML 6.7 OZ","DERM-I00248","Bioderma Sebium GEL Moussant Pompa 200 ML","0.71"
"bioderma-sebium-gel-moussant-200-ml-6-7-oz-21276.webp","BIODERMA SEBIUM GEL MOUSSANT 200 ML 6.7 OZ","DERM-I00249","Bioderma Sebium GEL Moussant Tubo 200 ML","0.71"
"bioderma-sebium-gel-moussant-200-ml-6-7-oz-21276.webp","BIODERMA SEBIUM GEL MOUSSANT 200 ML 6.7 OZ","DERM-I00247","Bioderma Sebium GEL Moussant Actif 200 ML","0.71"
"eucerin-anti-pigment-dual-serum-facial-30-ml-116982.webp","EUCERIN ANTI-PIGMENT DUAL SERUM FACIAL 30 ML","DERM-I00453","Eucerin Anti-pigment Serum 30 ML","0.71"
"isispharma-uveblock-spf50-fluido-invisible-40-ml-16660.webp","ISISPHARMA UVEBLOCK SPF50+ FLUIDO INVISIBLE 40 ML","DERM-I00754","Isispharma Uveblock SPF 50+ Fluid Invisible 40 ML","0.71"
"sesderma-hidraven-300-ml-crema-espumosa-16193.webp","SESDERMA HIDRAVEN 300 ML CREMA ESPUMOSA","DERM-I01120","Sesderma Hidraven Crema Espumosa SIN Jabon 300 ML","0.71"
"uriage-bariederm-cica-spray-assechant-reparateur-100-ml-105335.webp","URIAGE BARIEDERM CICA-SPRAY ASSECHANT REPARATEUR 100 ML","DERM-I01242","Uriage Bariederm Cica Spray 100 ML","0.71"
"uriage-hyseac-3-regul-cerma-facial-40-ml-86843.webp","URIAGE HYSEAC 3 REGUL CERMA FACIAL 40 ML","DERM-I01286","Uriage Hyseac 3-REGUL 40ML","0.71"
"vichy-double-glow-peel-mask-75-ml-90301.webp","VICHY DOUBLE GLOW PEEL MASK 75 ML","DERM-I01319","Vichy Double Glow Peeling Mask 75 ML","0.71"
"acm-duolys-protector-solar-anti-edad-spf-50-50-ml-crema-116434.webp","ACM DUOLYS PROTECTOR SOLAR ANTI-EDAD SPF 50+ 50 ML CREMA","DERM-I00027","ACM Duolys Anti-edad Crema Solar SPF 50 50ML","0.7"
"eucerin-anti-pigment-crema-facial-noche-50-ml-50-g-anti-man-105579.webp","EUCERIN ANTI-PIGMENT CREMA FACIAL NOCHE 50 ML 50 G ANTI-MAN","DERM-I00450","Eucerin Anti-pigment Crema Facial DE Noche 50ML","0.7"
"aceite-de-rosa-de-mosqueta-15-ml-19241.webp","ACEITE DE ROSA DE MOSQUETA 15 ML","DERM-I00615","Idcp Aceite DE Rosa Mosqueta","0.67"
"avene-cicalfate-reparadora-100-ml-crema-106014.webp","AVENE CICALFATE REPARADORA 100 ML CREMA","DERM-I00117","Avene Cicalfate Crema Plus 100 ML","0.67"
"avene-cicalfate-reparadora-40-ml-crema-19593.webp","AVENE CICALFATE REPARADORA 40 ML CREMA","DERM-I00118","Avene Cicalfate Crema Plus 40 ML","0.67"
"avene-dermabsolu-essencial-facial-30-ml-serum-116815.webp","AVENE DERMABSOLU ESSENCIAL FACIAL 30 ML SERUM","DERM-I00137","Avene Dermabsolu Serum 30 ML","0.67"
"babe-4541-250-ml-gel-higiene-intima-20070.webp","BABE 4541 250 ML GEL HIGIENE INTIMA","DERM-I00197","Babe Higiene Intima 250 ML","0.67"
"babe-crema-de-pies-reparadora-urea-10-100-ml-12774.webp","BABE CREMA DE PIES REPARADORA UREA 10% 100 ML","DERM-I00176","Babe Crema Reparadora Para Pies Urea 10%","0.67"
"babe-fotoprotector-transparente-wet-skin-sfp50-200-ml-88716.webp","BABE FOTOPROTECTOR TRANSPARENTE WET SKIN SFP50 200 ML","DERM-I00186","Babe Fotoprotector Transparente WET Skin SFP 50 200 ML","0.67"
"bioderma-atoderm-crema-ultra-nourishing-200-ml-104776.webp","BIODERMA ATODERM CREMA ULTRA NOURISHING 200 ML","DERM-I00221","Bioderma Atoderm Crema 200 ML","0.67"
"bioderma-sebium-solution-micellar-h2o-250-ml-16571.webp","BIODERMA SEBIUM SOLUTION MICELLAR H2O 250 ML","DERM-I00252","Bioderma Sebium H2O 250 ML","0.67"
"bioderma-sensibio-crema-apaisante-40-ml-116752.webp","BIODERMA SENSIBIO CREMA APAISANTE 40 ML","DERM-I00258","Bioderma Sensibio DS+ Crema 40 ML","0.67"
