archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"acm-boreade-m-emulsion-seboreguladora-matificante-40-ml-127292.webp","ACM BOREADE M EMULSION SEBOREGULADORA MATIFICANTE 40 ML","DERM-I00009","ACM Boreade M Emulsion Seborreguladora Matificante 40 ML","0.75"
"acm-boreade-r-lapiz-labial-reparador-9-2-g-127295.webp","ACM BOREADE R LAPIZ LABIAL REPARADOR 9.2 G","DERM-I00011","ACM Boreade R Lapiz Labial Reparador 9.2 GR","0.75"
"acm-duolys-a-serum-intensivo-antiarugas-30-ml-122430.webp","ACM DUOLYS A SERUM INTENSIVO ANTIARUGAS 30 ML","DERM-I00026","ACM Duolys A Serum Intensivo Antiarrugas 30 ML","0.75"
"avene-vitamin-activ-cg-serum-vitamina-c-30-ml-131103.webp","AVENE VITAMIN ACTIV CG SERUM VITAMINA C 30 ML","DERM-I00160","Avene Vitamina Activ CG Serum 30 ML","0.75"
"cerave-serum-hidratante-de-acido-hialuronico-30-ml-121952.webp","CERAVE SERUM HIDRATANTE DE ACIDO HIALURONICO 30 ML","DERM-I00303","Cerave Serum Hidratante CON Acido Hialuronico 30 ML","0.75"
"darrow-actine-fps-50-tono-2-medio-40-gr-131255.webp","DARROW ACTINE FPS 50 TONO 2 MEDIO 40 GR","DERM-I00359","Darrow Actine Tono Medio FPS 50","0.75"
"eucerin-dermopure-triple-efecto-serum-40-ml-123301.webp","EUCERIN DERMOPURE TRIPLE EFECTO SERUM 40 ML","DERM-I00471","Eucerin Dermopure OIL Control Triple Efecto Serum 40ML","0.75"
"isdin-fotoultra-100-active-unify-color-spf50-122455.webp","ISDIN FOTOULTRA 100 ACTIVE UNIFY COLOR SPF50+","DERM-I00686","Isdin Fotoultra 100 Active Unify Corrige SPF 50+","0.75"
"isispharma-uveblock-spf-50-kids-spray-enfanats-200-ml-prot-121864.webp","ISISPHARMA UVEBLOCK SPF 50+ KIDS SPRAY ENFANATS 200 ML (PROT","DERM-I00757","Isispharma Uveblock SPF 50+ Spray Kids 200 ML","0.75"
"la-roche-posay-retinol-b3-serum-1-0-oz-120736.webp","LA ROCHE POSAY RETINOL B3 SERUM 1.0 OZ","DERM-I00839","LA Roche-posay Retinol B3 Serum 30 ML","0.75"
